,id,name,host_id,host_name,neighbourhood,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,Unnamed: 0,host_listings_count
2770,16403388,"Private Bed in a Sunny, Quiet Studio City Apt.",38672756,Robert,Valley Village,,34.15713823,-118.3963434,Private room,46,1,16,4/25/2017,3.9,78,2770,1.0
14604,18197979,Cozy Nights - Remote Controlled Posturepedic Bed,31376297,Armarion,Lakewood,,33.83542476,-118.15907,Private room,46,1,2,4/23/2017,2.0,339,14604,3.0
24586,15174710,Double Bed 2 miles Magic Mountain,95753572,Janet,Stevenson Ranch,,34.3889968,-118.57767140000001,Private room,46,1,21,4/9/2017,3.03,89,24586,3.0
17417,17777898,Cosy private room/bathroom in Miracle Mile.,121393004,Brams,Mid-Wilshire,,34.06407656,-118.34591019999999,Private room,46,4,0,,,48,17417,1.0
11994,15970725,"Best neighborhood, comfy, clean, close to DTLA!",3482032,Christine,Highland Park,,34.11655863,-118.20161809999999,Private room,47,1,2,3/23/2017,1.15,222,11994,1.0
30313,8194908,Private room 2 w/ parking included,43226028,Patrick,Westlake,,34.06873897,-118.2707957,Private room,47,1,29,4/28/2017,1.44,169,30313,3.0
19963,12906679,Rose Parade/CalTech Bed #A in Cozy Converted Loft,27598231,Lance And Angel,Pasadena,,34.14851882,-118.115691,Shared room,47,2,6,4/16/2017,0.5,363,19963,47.0
31060,16377285,C2E's Villa Bedroom,30441787,Mayra,Woodland Hills,,34.16447944,-118.63328590000002,Private room,47,1,33,4/25/2017,7.17,89,31060,2.0
17064,13900341,Revi Place,82357334,Revital,Mid-City,,34.04203682,-118.3775352,Private room,47,1,21,3/30/2017,2.48,314,17064,3.0
10250,14825146,Spacious Comfortable and quiet,67640492,Nils,Glendora,,34.142597200000004,-117.8465153,Private room,47,3,8,4/11/2017,1.2,163,10250,1.0
18891,10208745,Hillside Home in the Valley,11820140,Ron,Pacoima,,34.26660219,-118.40566570000001,Private room,47,1,55,4/19/2017,3.36,45,18891,2.0
22741,4317916,Large Private Room,8926222,Dawn,Santa Monica,,34.01146164,-118.47053190000001,Private room,47,1,1,5/27/2015,0.04,0,22741,1.0
11291,18236385,Semi Master in LRG PENTHOUSE,3691211,David,Hollywood Hills,,34.10388661,-118.34561310000001,Private room,47,1,0,,,214,11291,4.0
15016,12810536,West LA 2 Week May Sublet - $650,69843281,Sean,Mar Vista,,34.00385174,-118.4331966,Private room,47,1,0,,,0,15016,1.0
30991,580084,"Large, Private Room Near Pepperdine",1703367,Laura,Woodland Hills,,34.1685266,-118.6375158,Private room,47,3,23,2/20/2017,0.41,51,30991,4.0
7458,15876540,Great location & quiet neighborhood,102942389,Thomas,El Monte,,34.05555983,-118.0150351,Private room,47,1,20,4/30/2017,5.0,312,7458,1.0
28088,10164502,Venice Beach/MDR Steps from sand!,12549845,Eric,Venice,,33.98128041,-118.466573,Private room,47,1,4,3/2/2016,0.25,0,28088,1.0
17142,6837775,Modern & Tidy Room,34084792,Haez,Mid-City,,34.04487317,-118.34030259999999,Private room,47,2,71,4/17/2017,3.12,343,17142,5.0
30104,8617250,Private room 3 w/ parking included,43226028,Patrick,Westlake,,34.07039393,-118.27145120000002,Private room,47,1,14,3/12/2017,0.73,183,30104,3.0
21456,18428800,sunny mater bedroom with private bathroom,56240217,Alex,Rowland Heights,,33.98603972,-117.8863827,Private room,47,1,0,,,79,21456,6.0
15668,18471439,clear graceceland,128110735,Davis,Long Beach,,33.7694244,-118.1927862,Private room,47,1,0,,,365,15668,1.0
5096,13797266,Private Room/Chambre Privee,22532835,Chamsdine,Hollywood,,34.10471491,-118.33249740000002,Private room,47,1,1,8/18/2016,0.12,89,5096,1.0
21828,16391620,San Gabriel Single Private Suite 圣蓋博舒适单间獨用套房,45917069,Amy,San Gabriel,,34.10048498,-118.0783262,Private room,47,2,5,4/23/2017,1.24,159,21828,1.0
13859,5484728,Nested in the Hills,23468837,Louie,La Habra Heights,,33.95335405,-117.97090130000001,Private room,47,3,160,4/18/2017,6.55,250,13859,2.0
13335,18228169,Cozy French/Midwestern Style Studio,94998677,Holly,Koreatown,,34.05883861,-118.3131982,Shared room,47,3,2,5/1/2017,2.0,332,13335,1.0
21798,13604364,Spacious Room in Beautiful large,78694263,Mister,San Gabriel,,34.08130795,-118.08623020000002,Private room,47,1,11,4/9/2017,1.48,316,21798,4.0
20253,13176869,Rose Parade/CalTech Bed #B in Cozy Converted Loft,27598231,Lance And Angel,Pasadena,,34.14746074,-118.1157777,Shared room,47,2,10,3/26/2017,1.05,365,20253,47.0
25278,18273991,Upstairs bedroom in recently renovated cozy house,126329762,Jean,Temple City,,34.11115183,-118.05837109999999,Private room,47,1,0,,,243,25278,2.0
25577,6731745,We welcome you to  share our home,159886,Lois,Torrance,,33.79987483,-118.34734809999999,Private room,47,2,6,8/20/2016,0.28,63,25577,4.0
18439,15955710,Great townhouse in North Hollywood.,13060918,K,North Hollywood,,34.16901891,-118.3679385,Private room,47,1,4,4/17/2017,3.16,316,18439,1.0
12859,6741518,Large Room Near LA Attractions!,35085442,Kenneth,Koreatown,,34.06809887,-118.2982057,Private room,47,1,98,4/30/2017,4.58,11,12859,5.0
25244,18312625,Recently remodeled 2nd floor bedroom with balcony,126329762,Jean,Temple City,,34.11157136,-118.05772549999999,Private room,47,1,0,,,240,25244,2.0
3170,13701340,Rancho Park room,79148061,Anne,Century City,,34.04806628,-118.4169277,Private room,47,3,1,7/16/2016,0.1,0,3170,1.0
17286,18253672,Location for your LA needs.,118682832,Raul,Mid-Wilshire,,34.04887543,-118.33380030000001,Private room,47,1,0,,,363,17286,2.0
1029,14014118,Full Over Full Bunk Bed/Private Room,53559956,Bianca,Pico-Union,,34.04906641,-118.2935374,Private room,47,1,41,4/12/2017,4.3,245,1029,6.0
7283,9865710,A Beautifully Fabric Draped Enclosed Living Room,50774223,Qui,Del Rey,,33.98916202,-118.4217623,Private room,47,1,21,4/10/2017,1.42,365,7283,1.0
16946,11181990,"1 private room,2 beds",58043249,Fatemeh,Mid-City,,34.04026412,-118.332045,Private room,47,7,6,9/15/2016,0.41,335,16946,4.0
11154,9348303,Bedroom Available in 2 Bed/ 2 Bath,11107283,Nick,Hollywood Hills,,34.11813234,-118.31882309999999,Private room,47,5,1,5/27/2016,0.09,122,11154,1.0
25227,14916956,Cozy Quadruple shared bathroom,76262280,Grace,Temple City,,34.10421945,-118.05855690000001,Private room,47,1,14,4/30/2017,2.0,365,25227,6.0
24976,18120475,Sunland/tujunga beautiful home $47,59052908,Tina,Sunland,,34.26141611,-118.30643899999998,Private room,47,1,5,5/2/2017,5.0,362,24976,5.0
13663,4576226,Heart of Hollywood.,1460773,Kim,Larchmont,,34.08146278,-118.3094757,Private room,47,5,0,,,0,13663,1.0
888,4059800,Colorful Bedroom: Atwater Village,20657256,George,Atwater Village,,34.11548198,-118.26233710000001,Private room,47,2,6,7/13/2016,0.25,364,888,3.0
10166,17209787,Cozy Glendale Studio w/ Private Entrance,115834246,Loren,Glendale,,34.17343618,-118.2262355,Private room,47,1,23,4/30/2017,8.52,124,10166,1.0
18164,17811281,Valley Village Getaway!!,94059586,Frank,North Hills,,34.23514638,-118.49153909999998,Private room,47,3,1,3/28/2017,0.81,29,18164,2.0
3213,11263915,Room in Award-winning Cerritos Home,58803680,Charles,Cerritos,,33.87656466,-118.06616909999998,Private room,47,2,4,3/17/2017,0.31,23,3213,2.0
20411,8847624,Redondo Beach near galleria,46330740,Amir,Redondo Beach,,33.87719252,-118.3672861,Private room,47,1,1,12/1/2015,0.06,0,20411,1.0
3472,13969424,Quiet Burbank Home for Business Travelers,83280793,Jesse,Burbank,,34.16326206,-118.3165405,Private room,47,1,4,1/25/2017,0.41,0,3472,1.0
18206,17965181,Backroom with Pool +Spacious Garden,67649890,Monique,North Hollywood,,34.17749413,-118.3752759,Private room,47,1,2,5/1/2017,2.0,365,18206,1.0
9079,11824105,Private Room in Echo Park. Monthly,9563496,Jenny,Echo Park,,34.06990871,-118.2497263,Private room,47,20,1,4/28/2016,0.08,309,9079,1.0
9591,8564902,Oasis in the Heart of LA!,22728456,Pablo,Exposition Park,,34.02459492,-118.29713740000001,Entire home/apt,47,2,39,4/24/2017,2.15,154,9591,1.0
6277,3638792,Perfect Hollywood Location!,18359232,Elaine,Hollywood,,34.10142602,-118.3369419,Entire home/apt,47,2,68,4/25/2017,2.14,39,6277,1.0
31177,3751355,Bright Vibrant & Musical Energy,242991,Arslan,Woodland Hills,,34.14818608,-118.60633940000001,Private room,47,7,2,4/3/2015,0.08,365,31177,1.0
25691,16002904,Private Bed/Bath Close to everything you need!,104027176,Tony,Torrance,,33.81714697,-118.34850970000001,Private room,47,13,0,,,0,25691,1.0
25689,18275379,"Spacious, furnished queen room",61431099,Katie,Torrance,,33.86352626,-118.3548598,Private room,47,1,1,4/30/2017,1.0,11,25689,1.0
