,id,name,host_id,host_name,neighbourhood,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,Unnamed: 0,host_listings_count
24957,13962386,Private room/ bath in studio city,40815749,Zachary,Studio City,,34.15556225,-118.41151709999998,Private room,69,1,0,,,0,24957,1.0
16940,7069963,"Mid City Home , private room",13241617,J J,Mid-City,,34.0378179,-118.3445506,Private room,69,1,0,,,365,16940,2.0
16949,8310025,"Charming, Bright one bedroom",43812214,Mark,Mid-City,,34.03983152,-118.37828090000001,Private room,69,3,5,2/25/2017,0.34,291,16949,2.0
6184,4234530,Private Hollywood Bedroom & Bath,20828139,Steve,Hollywood,,34.09914204,-118.32132109999999,Private room,69,1,182,4/11/2017,5.88,54,6184,3.0
19815,9318114,Pasadena Studio Furnished for Long Term Stays,48363584,Jerry,Pasadena,,34.14642792,-118.09261969999999,Entire home/apt,69,14,23,2/17/2017,1.36,281,19815,2.0
6180,12230229,Private hollywood bedroom,49754887,Rachael,Hollywood,,34.08438812,-118.343721,Private room,69,1,0,,,365,6180,9.0
21831,12917210,convenient location & self check-in   02,70838458,Vikki,San Gabriel,,34.08036002,-118.09133729999999,Private room,69,1,79,4/28/2017,6.64,74,21831,18.0
21942,3331453,Guest Room in 2 Bed 2 Bath Condo,16818658,Saul,Van Nuys,,34.18730622,-118.45867849999999,Private room,69,1,3,3/10/2016,0.15,365,21942,2.0
8965,12178699,Treetop Suite - Zen Writers Retreat,476052,Jodi And Jason,Echo Park,,34.09271464,-118.24719569999999,Private room,69,1,0,,,365,8965,6.0
4033,6887836,Poolside Cabana,12358058,Buddy,Culver City,,33.99355064,-118.44191059999999,Private room,69,2,25,4/27/2017,1.1,80,4033,9.0
2951,4100233,"No.3 Pasadena,Arcadia,Monrovia",20988354,Pengju,Bradbury,,34.14670046,-117.97197820000001,Private room,69,2,22,1/3/2017,0.94,181,2951,4.0
16404,6613459,COZY NY STYLE ROOM W/ AMAZING VIEWS,3975009,Elisabet,Malibu,,34.03766726,-118.8270153,Private room,69,1,25,9/11/2016,1.08,339,16404,57.0
16896,17724001,Private room with mini sink/fridge,120415707,Sabino,Mid-City,,34.04286451,-118.36280990000002,Private room,69,5,1,4/21/2017,1.0,306,16896,3.0
29812,66246,Private room+Queen+WiFi+CableTVDesk,70344,Duke & Van,West Hollywood,,34.09528362,-118.3663926,Private room,69,1,103,3/31/2017,1.36,264,29812,10.0
12070,2559055,Charming 1 Bedroom Bungalow,13100972,Robin,Highland Park,,34.11705655,-118.17792069999999,Entire home/apt,69,2,0,,,0,12070,1.0
30,1080947,LA Room Rental,2324191,Elisabeth,Adams-Normandie,,34.02864097,-118.30129640000001,Private room,69,1,38,3/21/2017,0.79,308,30,23.0
24986,1751298,Amazing Master Bedroom in NoHo,9212841,Brittany,Sun Valley,,34.21331324,-118.3901915,Private room,69,7,12,7/31/2016,0.29,333,24986,4.0
24984,5308844,Welcome to my country cottage.,27498737,Swan V.,Sunland,,34.260560399999996,-118.3268635,Private room,69,2,0,,,364,24984,3.0
19988,15127762,Guesthouse w/ bathroom and private entrance,95896021,Qi,Pasadena,,34.15900845,-118.0743917,Entire home/apt,69,1,47,4/19/2017,6.91,17,19988,2.0
2881,18159641,Private little Bungalow,75993314,Mario,Boyle Heights,,34.03989823,-118.2149442,Entire home/apt,69,3,0,,,124,2881,1.0
30613,5813715,Petite Suite - at The Castle,28823099,Jennifer,Westwood,,34.06741206,-118.4268887,Private room,69,3,10,5/13/2016,0.41,319,30613,3.0
20014,6337392,Room with a garden view,21304470,Stacey,Pasadena,,34.1436329,-118.09732520000001,Private room,69,1,24,3/25/2017,1.02,306,20014,3.0
25080,11713271,Master bedroom with privet bathroom,27695695,Ali,Tarzana,,34.18214616,-118.5354582,Private room,69,1,3,10/18/2016,0.22,365,25080,1.0
17096,16547724,**Private room and bathroom in a luxury home,2198280,Nick,Mid-City,,34.04629636,-118.3676855,Private room,69,2,4,3/14/2017,1.15,0,17096,1.0
15852,12877074,Large Bedroom Sleeps 4-6 people private bathroom,34469588,Kay,Long Beach,,33.79427133,-118.2161615,Private room,69,1,7,11/13/2016,0.61,333,15852,5.0
14812,3978049,Temporary Temple,12358058,Buddy,Mar Vista,,33.99391733,-118.4420662,Private room,69,3,123,4/17/2017,3.78,78,14812,9.0
13643,16711821,The Cozy Oak is Perfect!,103603187,Cheryl,La Crescenta-Montrose,,34.2123715,-118.22431920000001,Private room,69,1,14,4/29/2017,3.89,336,13643,2.0
11439,4900356,Luxurious room in Hollywood Hills,17795108,Joycelyne,Hollywood Hills,,34.11613332,-118.31268770000001,Private room,69,1,17,1/7/2017,1.15,352,11439,4.0
24620,17546111,Cozy Living Room w/ Air bed,51163504,Rudy,Studio City,,34.14257671,-118.367976,Shared room,69,1,0,,,364,24620,1.0
5489,14110392,CLASSIC/updated 1963 Airstream *Heart of hollywood,52611503,Marty,Hollywood,,34.08831845,-118.31425929999999,Entire home/apt,69,1,47,4/29/2017,5.4,296,5489,2.0
774,11761315,Clean and quiet backyard single house,18256116,Xuefei,Arcadia,,34.12178068,-118.0337993,Entire home/apt,69,2,41,5/1/2017,3.01,28,774,1.0
22560,7761781,"Charming, Bright and Comfortable",40813892,Aranzasu,Santa Monica,,34.03195339,-118.4808524,Private room,69,1,1,8/23/2015,0.05,46,22560,1.0
11881,14983333,Clean Stylish Bungalow in Highland Park,23374055,Robert,Highland Park,,34.11712996,-118.2027384,Entire home/apt,69,3,20,5/1/2017,2.59,56,11881,1.0
20504,6935871,Redondo Beach Cozy Private Bedroom,6336974,Catherine,Redondo Beach,,33.87341558,-118.37591529999999,Private room,69,6,20,12/1/2016,0.89,28,20504,5.0
5481,673946,HOLLYWOOD  COZY NOOK,3022694,Chona,Hollywood,,34.09367754,-118.33880400000001,Private room,69,2,107,4/16/2017,1.91,303,5481,1.0
9430,12390684,ADORABLE STUDIO IN THE GARDEN,44186904,Amanda,El Sereno,,34.09865516,-118.1601253,Entire home/apt,69,3,8,3/25/2017,0.75,314,9430,2.0
23479,8713837,"Safe, Beautiful, New Studio avail.",6336346,Scott,Sherman Oaks,,34.16383411,-118.4338068,Entire home/apt,69,3,5,4/3/2017,0.3,355,23479,2.0
3262,1970723,Walking distance from NYFA and WB!,10175862,Joseph,Burbank,,34.14752547,-118.34455359999998,Private room,69,1,15,11/28/2016,0.39,275,3262,1.0
28400,14321422,It's a duplex house on the second floor.,87607372,Maria,Watts,,33.93382124,-118.2368132,Shared room,69,1,0,,,364,28400,1.0
17920,18094571,Beautifully Remodeled Classic Spanish Home,22698964,Trevor,Mid-Wilshire,,34.05163582,-118.34617649999998,Private room,69,2,0,,,336,17920,1.0
7913,6005207,East Hollywood Studio,27753817,Jared,East Hollywood,,34.07794968,-118.3028162,Entire home/apt,69,3,3,8/24/2015,0.13,0,7913,1.0
27201,510023,Bedroom with private entry & bath by Beach,2374539,Aidan,Venice,,33.97795289,-118.4644261,Private room,69,1,90,4/17/2017,4.62,64,27201,1.0
25326,18375967,New Apartment in NOHO Arts District,71717469,Erik,Toluca Lake,,34.16456615,-118.35893229999999,Entire home/apt,69,1,0,,,58,25326,1.0
3244,9155386,Private Huge Room w/3 Soft Beds !!!,47661894,H.D.,Burbank,,34.17183107,-118.3550173,Private room,69,1,41,4/9/2017,2.24,365,3244,3.0
24906,17751659,Master Bedroom with Bath in House - 2 guest max,84729108,Julius,Studio City,,34.15019366,-118.3858969,Private room,69,2,2,4/15/2017,1.76,357,24906,2.0
868,17106251,A COZY Pool House in Arcadia 210 Park,20454896,Kavina,Arcadia,,34.14579817,-118.0238754,Private room,69,3,0,,,97,868,2.0
30653,14845815,Comfy Sofa:Walking Distance to UCLA,38987205,G,Westwood,,34.05180489,-118.4383656,Shared room,69,1,1,9/16/2016,0.13,365,30653,3.0
24867,6767248,"best location, big private rm/bath, parking, pool",2341333,Tamar,Studio City,,34.14084105,-118.38000190000001,Private room,69,2,2,4/7/2017,1.46,76,24867,1.0
5150,14124578,Hollywood Blvd Private Bed/Bath Luxury Condo,37368851,Kimberly Amber,Hollywood,,34.10323773,-118.3373418,Private room,69,1,25,2/15/2017,2.8,363,5150,2.0
8666,2277477,"Studio Near Pasadena, San Marino...",10513958,Camille,East San Gabriel,,34.11438356,-118.0824489,Private room,69,2,21,3/25/2017,0.63,275,8666,3.0
29650,16417616,Holiday Writers Cottage,3002703,Ross,West Hollywood,,34.09311052,-118.3496172,Entire home/apt,69,5,3,3/25/2017,0.73,12,29650,1.0
30109,16938890,LUXURY CITY CENTRE APARTMENT,113209549,Dillan,Westlake,,34.0539609,-118.2723885,Shared room,69,1,0,,,365,30109,1.0
29645,3154241,Quiet Private Room Central WeHo,16006272,Steve,West Hollywood,,34.09128398,-118.363652,Private room,69,2,141,5/1/2017,3.99,337,29645,1.0
17136,3695550,COZY APT SHARE IN NICE NEIGHBORHOOD,18819886,Donna,Mid-City,,34.04361279,-118.3832725,Private room,69,2,47,4/25/2017,1.42,363,17136,2.0
30916,7615294,"Walking distance 2 fine dining, craft beers & wine",39937492,Nelson,Whittier,,33.98727241,-118.03255659999999,Private room,69,1,0,,,362,30916,1.0
5145,769570,Hollywood Hills Hotspot Haven,4059702,Shelby,Hollywood,,34.10371004,-118.3158527,Private room,69,1,82,4/5/2016,1.62,164,5145,2.0
10231,6424856,Comfy Bedroom + Private Bath/Parking Safe & Clean,33524345,TIda,Glendale,,34.15671039,-118.26003929999999,Private room,69,1,40,4/24/2017,1.97,333,10231,2.0
25039,14429918,Bright Getaway In Noho,9212841,Brittany,Sun Valley,,34.20767567,-118.3965345,Private room,69,7,1,11/30/2016,0.19,278,25039,4.0
22008,2114825,A New Comfortable Private Bedroom,10782142,Christian,Van Nuys,,34.19786924,-118.43775330000001,Private room,69,2,53,4/16/2017,1.4,365,22008,1.0
12363,13869356,HUGE Hollywood Studio+FREE PARKINg,59411774,Alice,Hollywood Hills West,,34.10480916,-118.34610990000002,Entire home/apt,69,1,6,11/22/2016,0.7,196,12363,3.0
21360,5895035,Gated Guesthouse W/Private Entrance,28122717,"(RVB)  Richard, Valerie, & Buddy",Rowland Heights,,33.96700191,-117.89183349999999,Entire home/apt,69,1,60,4/26/2017,2.59,323,21360,4.0
17066,1441426,Sunny Room in Historic Square,6829,Barrett,Mid-City,,34.04350294,-118.3311497,Private room,69,1,7,5/1/2017,0.36,72,17066,5.0
11908,2761227,Tropical Oasis in Highland Park,900280,Leanne,Highland Park,,34.10582785,-118.1911719,Entire home/apt,69,2,13,11/2/2016,0.44,258,11908,1.0
8800,568304,Lovely apartment by the lake,2795929,Roni,Echo Park,,34.07452089,-118.2626988,Entire home/apt,69,3,3,7/14/2013,0.05,0,8800,1.0
29724,18295176,LIVE THE LIFE IN WEHO JUST BELOW THE SUNSET STRIP,126529804,David,West Hollywood,,34.09466932,-118.37309690000001,Private room,69,7,0,,,69,29724,1.0
11874,4575206,Highland Park Room Right by Metro,23715757,Justin,Highland Park,,34.09945352,-118.20506670000002,Private room,69,1,24,5/1/2017,1.19,364,11874,1.0
11903,15109896,"Gated Community, Modern, and Cozy",4243988,Joe,Highland Park,,34.1067549,-118.1894011,Private room,69,2,9,3/24/2017,1.3,327,11903,1.0
163,951058,French Cosy Rm-Aussie-Happy Energy,4743375,Rebekah Bed And Breakfast,Arlington Heights,,34.03815796,-118.3266572,Private room,69,1,136,10/29/2016,3.2,331,163,4.0
11183,5894756,Cozy room in the Hollywood Hills / Hardwood floor,16310067,Ben,Hollywood Hills,,34.13558712,-118.34086780000001,Private room,70,1,2,11/30/2015,0.12,335,11183,1.0
30786,6031650,Shared Room / MALE ONLY - UCLA,25149349,Emerson,Westwood,,34.06898832,-118.45289140000001,Shared room,70,27,1,6/15/2016,0.09,310,30786,16.0
1721,16126165,"Private, comfy, cozy & peaceful :)",44241333,Claire,Beverly Grove,,34.06700086,-118.3622622,Private room,70,7,0,,,364,1721,1.0
2107,6795963,BEAUTIFUL LARGE APT in LA  7/4-7/23,12134808,Dee Ann,Beverly Grove,,34.07803943,-118.36310139999999,Entire home/apt,70,15,0,,,0,2107,2.0
992,16071326,Nice Private Room,24681947,Steve,Pico-Union,,34.05199451,-118.2988281,Private room,70,1,5,4/4/2017,1.21,76,992,14.0
996,16069541,Very Cool - Private Room,24681947,Steve,Pico-Union,,34.05169954,-118.2969415,Private room,70,1,6,2/25/2017,1.25,68,996,14.0
17904,7938624,Private room @ Miracle Mile!,3709242,Irene,Mid-Wilshire,,34.06121271,-118.3539028,Private room,70,1,1,9/7/2015,0.05,0,17904,1.0
24507,8275936,"I bedroom, private bath, 2 beds",17306673,Iliana,South Pasadena,,34.11058752,-118.1717487,Private room,70,3,1,1/2/2016,0.06,175,24507,1.0
17906,8987171,BEST LOCATION+VIEW of Hollywood,12079935,Chloe & Joey,Mid-Wilshire,,34.06826783,-118.35214979999999,Private room,70,2,88,4/17/2017,4.83,66,17906,1.0
23508,18080411,Beautiful Townhouse in Sherman Oaks,111355964,Akito,Sherman Oaks,,34.15417554,-118.4485696,Private room,70,1,0,,,180,23508,1.0
4504,6225357,Cozy room+dance floor+Free Park,2365231,Sarah,Downtown,,34.04434620000001,-118.2501568,Private room,70,1,17,11/20/2016,0.73,18,4504,3.0
28374,14785975,If you need to just get away!,78981696,Sheldon,View Park-Windsor Hills,,33.98649145,-118.3556785,Private room,70,1,26,4/29/2017,3.25,17,28374,1.0
13628,16425187,Hippie bungalow with cats!,13896666,Rebecca,La Crescenta-Montrose,,34.21064017,-118.22685690000002,Entire home/apt,70,1,0,,,10,13628,1.0
859,17829336,"Double bed, pool and more in Monrovia, CA",121916622,Jennifer,Arcadia,,34.12927066,-118.0071128,Private room,70,1,0,,,88,859,1.0
15635,17031909,Nice apartment room super clean,114225413,Armando,Long Beach,,33.78079829,-118.1913887,Private room,70,3,0,,,179,15635,1.0
4729,8817021,Historic Cozy Apt in Downtown LA,38587281,Ana,Downtown,,34.03776374,-118.266819,Entire home/apt,70,1,46,4/28/2017,4.23,247,4729,1.0
19930,9032968,Apt w/personality near Old Town,47150073,Olli,Pasadena,,34.15791598,-118.1353496,Entire home/apt,70,1,13,6/25/2016,0.7,0,19930,1.0
9353,12846750,Quaint Studio in Hostel Hotel #12,66109042,Paris,El Segundo,,33.91899726,-118.41949299999999,Private room,70,1,52,4/22/2017,4.27,170,9353,9.0
30361,14651226,Private Room #1 in spacious home with backyard,90984141,Carla,Winnetka,,34.2063921,-118.57940649999999,Private room,70,4,0,,,89,30361,2.0
20442,16189748,Cozy room 10 blocks from beach,41971300,Roxanne,Redondo Beach,,33.854516499999995,-118.3812949,Private room,70,1,29,4/25/2017,6.96,100,20442,1.0
27013,13216664,Private Bd/Private Bath by the Marina -UR Own Wing,132739,Dr. B,Venice,,33.98641729999999,-118.44745659999998,Private room,70,2,10,10/25/2016,0.89,137,27013,1.0
25339,18296788,Beautiful place,126544615,Eva,Toluca Lake,,34.14997238,-118.36495729999999,Private room,70,1,0,,,89,25339,2.0
6257,16876785,Comfy Masterbedroom in Hollywood,30039285,MonicaNayeli,Hollywood,,34.09250311,-118.337143,Private room,70,1,16,4/28/2017,4.71,137,6257,5.0
24028,14285920,"The Treehouse, Silverlake",1964023,Amarpal,Silver Lake,,34.09841595,-118.2547902,Private room,70,2,2,4/23/2017,2.0,88,24028,0.0
19931,15793708,Room in small house,42966703,Daniela,Pasadena,,34.17048836,-118.1306483,Private room,70,2,2,2/1/2017,0.65,318,19931,2.0
9452,8769616,"Private room and bath: Encino, CA",45978772,Jordan,Encino,,34.17760362,-118.50691699999999,Private room,70,3,8,2/1/2017,0.52,88,9452,1.0
31145,12284747,Loft+own balcony luxury hills house,17787808,Nikita,Woodland Hills,,34.16322546,-118.5995284,Private room,70,1,3,1/20/2017,0.29,365,31145,8.0
18670,11399352,New room for rent,59829663,Junwu,Monterey Park,,34.05318443,-118.11653159999999,Private room,70,3,0,,,365,18670,1.0
21685,16603172,温馨的家,41872191,Mary,Rowland Heights,,33.98878258,-117.91702040000001,Private room,70,1,4,3/8/2017,1.3,165,21685,3.0
17863,11416095,Home sweet home,57165269,David,Mid-Wilshire,,34.05149053,-118.33294380000001,Private room,70,2,0,,,365,17863,2.0
30782,16726685,Room with Zen Bed in Great Westwood Townhouse,4282979,Todd,Westwood,,34.05280982,-118.43762520000001,Private room,70,2,10,4/28/2017,2.75,336,30782,2.0
24668,8842411,Studio City Apartment,46306795,Oliver,Studio City,,34.14597124,-118.3718654,Entire home/apt,70,1,2,11/3/2015,0.11,0,24668,1.0
3021,16792882,Chill In This Quiet Master Bed/Bath,26451762,Zeva,Brentwood,,34.05785641,-118.46540630000001,Private room,70,1,10,4/30/2017,4.41,303,3021,1.0
5808,4849046,West Hollywood Executive Apt,10536399,Cesar,Hollywood,,34.10269074,-118.34681929999999,Entire home/apt,70,2,13,3/27/2017,0.61,0,5808,1.0
7355,15479577,Venice private room w/attached bath 15 mins to LAX,2697708,Steve,Del Rey,,33.98791622,-118.4397271,Private room,70,1,27,4/30/2017,4.55,148,7355,2.0
12081,15391421,Private room Near USC Downtown,17592415,Chi,Historic South-Central,,34.02776594,-118.2723882,Shared room,70,1,2,10/29/2016,0.3,336,12081,0.0
782,15760836,"Spacious, Modern, Clean, w/Private BATH - Sleeps 4",51188819,Robert & Hui,Arcadia,,34.11021903,-118.0176932,Private room,70,2,25,4/25/2017,4.19,150,782,2.0
20698,14697055,Cosy room in a house with nice pool,48517966,Hadan,Ramona,,34.06555061,-117.8692874,Private room,70,1,0,,,364,20698,1.0
12014,1196535,Airy Master Bdrm in 1920s Building,6537884,Adam,Highland Park,,34.11224635,-118.1883199,Private room,70,1,1,7/18/2015,0.05,241,12014,2.0
15443,16666814,Bright & Spacious in Rose Park / Retro Row in LB,10558160,Christina,Long Beach,,33.77298833,-118.15842820000002,Private room,70,1,3,4/18/2017,2.31,129,15443,1.0
7940,14017377,Private bedroom & Private bathroom in Silverlake.,19399122,Nicole,East Hollywood,,34.09510782,-118.28770039999999,Private room,70,1,5,1/3/2017,0.52,365,7940,1.0
14161,18342490,Beautiful Modern Los Feliz Studio with Loft,1676660,Azita,Los Feliz,,34.10452859,-118.3010355,Entire home/apt,70,1,0,,,2,14161,1.0
28522,1484248,West Covina bed bath roommate 國英語,7940830,Sylvester,West Covina,,34.06586929,-117.9042404,Private room,70,1,0,,,365,28522,1.0
15459,4502959,"Twin beds in Quiet, Charming house",13901900,Hallie,Long Beach,,33.83040436,-118.1723997,Private room,70,1,42,4/5/2017,1.42,288,15459,2.0
25381,6074078,Artist Retreat Private Bedroom,2214414,Robin,Topanga,,34.105701200000006,-118.6288662,Private room,70,2,1,3/17/2017,0.63,42,25381,1.0
5895,7534355,Private bed & bath in Hollywood,28374822,Adriana,Hollywood,,34.1004664,-118.3477369,Private room,70,2,53,4/23/2017,2.45,299,5895,1.0
844,18025841,舒适house主卧出租,123977399,Xue,Arcadia,,34.14569846,-118.03467739999999,Private room,70,1,0,,,179,844,1.0
22815,1013877,Room at the beach in Santa Monica,5577457,Annie,Santa Monica,,34.0021309,-118.47768300000001,Private room,70,2,51,4/29/2017,1.16,261,22815,1.0
18129,12929734,Home away from home,20232088,Josh,Montecito Heights,,34.08274814,-118.19523909999998,Private room,70,1,14,3/29/2017,1.27,89,18129,1.0
11340,18007852,Bright apartment underneath the Hollywood Sign!,39280125,Frank,Hollywood Hills,,34.10920944,-118.3209662,Private room,70,3,1,4/18/2017,1.0,148,11340,1.0
28379,9080327,2 rooms available in upscale area,47354029,Ronson,View Park-Windsor Hills,,34.00136068,-118.3467147,Private room,70,1,1,1/2/2017,0.25,365,28379,2.0
3602,15144916,Full Bed in Private Room & Pool,9113118,Niles,Canoga Park,,34.20538597,-118.6113205,Private room,70,2,5,4/1/2017,0.7,220,3602,3.0
18005,3405964,Cozy Private Bedroom & Bath & Full Home Privileges,17178504,Thomas,Monrovia,,34.14501512,-118.00637859999999,Private room,70,2,53,4/16/2017,1.58,363,18005,1.0
14800,17822159,Sofa bed for rent in Venice,114447572,Marlon,Mar Vista,,34.00275564,-118.4224337,Shared room,70,2,0,,,365,14800,4.0
10662,18507811,Big group,128454107,Connie,Hacienda Heights,,33.99609056,-117.9652065,Private room,70,1,0,,,361,10662,1.0
20581,11103456,House of Arts,57670979,Malgorzata,Redondo Beach,,33.87164287,-118.36386,Private room,70,2,23,4/30/2017,1.83,66,20581,1.0
23400,366974,The Heart of Hollywood - LA Central,69350,Michelle,Sherman Oaks,,34.15490132,-118.4483864,Private room,70,2,55,3/21/2017,0.91,244,23400,1.0
5622,644008,MY HOLLYWOOD SPACE RENTALS  #16,2622454,Mary,Hollywood,,34.10055311,-118.32948640000001,Private room,70,1,290,5/1/2017,5.06,315,5622,10.0
30226,11377886,Spacious KTown Studio w/DTLA Views,6322888,DaVida,Westlake,,34.05754639,-118.2889712,Entire home/apt,70,1,0,,,0,30226,1.0
21041,16316840,"Private bedroom and private bathroom, Santa Monica",83201351,Wei,Sawtelle,,34.02862575,-118.4509615,Private room,70,1,3,4/8/2017,0.8,86,21041,2.0
4352,7774742,Cozy Charming Super Clean 4 bedroom,40897329,Belvis,Downtown,,34.05290127,-118.243127,Private room,70,1,2,8/11/2016,0.19,365,4352,1.0
28496,3947427,Private Bed & Bath in Updated House,20457926,Kenneth,West Carson,,33.81540496,-118.291922,Private room,70,2,11,10/22/2016,0.36,290,28496,1.0
26252,12890857,Venice room for rent,51373404,Wendy,Venice,,34.00475269,-118.46141589999999,Private room,70,1,22,4/19/2017,2.04,304,26252,3.0
12017,7244389,"Zen Home with Hot Tub, Kitty, & Lush Backyard!",34871739,Gemineye,Highland Park,,34.10565841,-118.1960297,Private room,70,3,2,1/9/2016,0.1,365,12017,1.0
29086,9492556,"WeHo Central! Clean, Modern Bedroom",6243918,Randy,West Hollywood,,34.08809788,-118.35930390000001,Private room,70,1,176,5/1/2017,10.21,20,29086,1.0
14151,3468747,Bright 11x12 room in Los Feliz,4291891,Hailey,Los Feliz,,34.10346934,-118.28440259999998,Private room,70,7,6,2/23/2016,0.18,364,14151,2.0
5943,15789419,Spectacular studio,43268229,The Lido,Hollywood,,34.103937200000004,-118.33037350000001,Entire home/apt,70,1,19,4/18/2017,3.31,278,5943,6.0
1955,2332115,Beverly Hills 2 /the Grove/3rd St,11267640,Joelle,Beverly Grove,,34.07080593,-118.3653274,Private room,70,1,26,3/29/2017,0.68,356,1955,3.0
