,id,name,host_id,host_name,neighbourhood,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,Unnamed: 0,host_listings_count
5578,15528121,Private Suite Heart of Hollywood w/ Parking,98720798,Rana,Hollywood,,34.10460857,-118.33342809999999,Private room,69,1,9,4/29/2017,1.38,305,5578,4.0
9880,18139886,magical healing home,125056493,Marcie,Glassell Park,,34.11246818,-118.2258407,Private room,69,3,0,,,276,9880,2.0
6827,795892,"Hollywood,1 Bedroom,  private bath",4192397,David,Hollywood,,34.09804374,-118.35496770000002,Private room,69,4,26,4/6/2016,0.5,269,6827,2.0
31164,9260619,Monthly Rooms @ Home away from Home,1381694,Ann,Woodland Hills,,34.17200728,-118.64548500000001,Private room,69,1,5,3/31/2017,0.33,337,31164,5.0
19182,12365899,Private Room near DT Culver City,9534249,Benjamen,Palms,,34.02346694,-118.40625779999999,Private room,69,3,1,6/4/2016,0.09,304,19182,1.0
15398,10441042,Comfort and Joy,23789910,Terry Ray,Long Beach,,33.76885675,-118.17929840000002,Private room,69,1,0,,,365,15398,1.0
12101,5915468,near USC/ upscale apt private room,19995944,Morris,Historic South-Central,,34.02790798,-118.27293119999999,Private room,69,1,1,5/6/2015,0.04,0,12101,1.0
3990,8736623,"Private, Quiet and Cozy Culver City",13838752,Jane,Culver City,,34.02764494,-118.38285690000001,Entire home/apt,69,1,80,5/2/2017,4.22,289,3990,1.0
24047,422298,★Big bedroom★ in custom hills home,76408,Wendy,Silver Lake,,34.10314868,-118.26080729999998,Private room,69,4,1,8/14/2012,0.02,286,24047,4.0
6234,9997542,WEHO Private room,49754887,Rachael,Hollywood,,34.08603875,-118.3436493,Private room,69,1,2,2/15/2016,0.12,365,6234,9.0
12105,14642543,Studio in Los Angeles near USC,42238836,Alexandr,Historic South-Central,,34.03120527,-118.26510649999999,Entire home/apt,69,1,35,4/17/2017,4.18,125,12105,12.0
4018,3944933,Private room with a worldly vibe,20403755,Sebastien,Culver City,,33.98787248,-118.38114809999999,Private room,69,2,82,4/17/2017,2.63,326,4018,1.0
12123,13824740,HOLLYWOOD HILLS HIDEAWAY WITH VIEWS.,15836375,Ryan Bradley,Hollywood Hills West,,34.10505196,-118.37772140000001,Private room,69,1,104,5/3/2017,10.51,321,12123,3.0
4021,9253498,calif dream home with garden,5152419,Penelope,Culver City,,33.99904201,-118.40045570000001,Private room,69,1,5,2/28/2017,0.28,240,4021,3.0
25028,4540471,Beautiful Cottage with Modern Flair,189473,Joelle,Sun Valley,,34.20748246,-118.4253322,Entire home/apt,69,1,105,4/14/2017,3.5,323,25028,2.0
6231,16158562,Hollywood Home; PRIVATE ROOM / PRIVATE BATH,48732979,James And Ever,Hollywood,,34.09039446,-118.31484990000001,Private room,69,1,16,4/26/2017,3.29,134,6231,1.0
12289,15051968,West Hollywood Oasis with Pool!,8919409,Stephanie And Kyle,Hollywood Hills West,,34.09935671,-118.38182040000001,Private room,69,30,5,3/14/2017,0.81,89,12289,9.0
17045,16859463,"Central, Mediterranean-Style Aptmnt",112178475,Madeline,Mid-City,,34.04234,-118.3374037,Private room,69,2,3,2/23/2017,1.14,81,17045,1.0
25970,4184378,#9 Self Check-In even late at night/downtown,21504393,Daryl,University Park,,34.03685533,-118.28181599999999,Private room,69,1,117,5/1/2017,3.93,348,25970,8.0
26043,14533505,5-Star Private Room with incredible amenities!,85039374,Elena,Valley Glen,,34.17619725,-118.43231399999999,Private room,69,1,73,4/30/2017,8.49,356,26043,2.0
3080,892059,Charming  Private Room & Bathroom,4739914,Susan,Brentwood,,34.04709083,-118.4657804,Private room,69,3,19,3/17/2017,0.37,75,3080,1.0
9119,12212892,Private Echo Lake Studio Apartment,1584024,Justin,Echo Park,,34.0702611,-118.2592915,Entire home/apt,69,2,34,4/11/2017,2.62,355,9119,2.0
12538,6693716,Laurel Canyon Guest Suite,95583,Ethlie,Hollywood Hills West,,34.11974791,-118.3763362,Private room,69,1,42,4/20/2017,1.83,349,12538,2.0
10065,11423261,Private Adams Hill Flat,1575298,Molly,Glendale,,34.13063038,-118.2389496,Entire home/apt,69,5,6,10/29/2016,0.69,128,10065,1.0
24876,18429837,Universal Studios Kingsized Bedroom Ensuite Bath,7787625,Vincent,Studio City,,34.14931227,-118.3683621,Private room,69,1,0,,,87,24876,2.0
17224,17029266,"Art Decco, Quaint, 420 Friendly, Creative Quarters",31429613,Nasir,Mid-City,,34.04255102,-118.3387173,Private room,69,1,0,,,82,17224,1.0
4039,8389447,Marrakesh House: Pool Room,436265,Chris Paine,Culver City,,34.01892673,-118.3843261,Private room,69,2,49,4/26/2017,2.63,68,4039,3.0
8686,6410820,"New Private Studio, Separate Entry",10513958,Camille,East San Gabriel,,34.11483356,-118.08391680000001,Private room,69,2,7,3/29/2017,0.32,309,8686,3.0
36,8327493,Quality Master Bedroom near USC,16723651,Tyler,Adams-Normandie,,34.03057835,-118.29762849999999,Private room,69,2,2,10/22/2015,0.11,0,36,1.0
24980,5393307,Home Sweet Home in Southern California.,27498737,Swan V.,Sunland,,34.26044598,-118.32888559999999,Private room,69,2,12,1/4/2017,0.56,365,24980,3.0
30139,17193777,MODERN HOME NEAR KOREATOWN,42606156,Chris,Westlake,,34.05935803,-118.2856585,Private room,69,1,10,4/9/2017,4.05,62,30139,14.0
